incident_id,case_number,incident_datetime,incident_type_primary,incident_description,clearance_type,address_1,address_2,city,state,zip,country,latitude,longitude,created_at,updated_at,location,hour_of_day,day_of_week,parent_incident_type,University of Virginia Public Engines Shapes - srfu-ji83
829424782,2016-00000240,3/2/16 14:04,THEFT FROM BUILDING,THEFT FROM BUILDING,,100 Block MCCORMICK RD,,CHARLOTTESVILLE,VA,22903,,38.0366948,-78.505187,12/20/17 18:23,12/20/17 22:16,POINT (-78.50518699999999 38.0366948),14,Wednesday,Theft,361237
829424633,2016-00000242,3/3/16 6:15,BURGLARY/B&E,BURGLARY/B&E,,200 Block HEREFORD DR,,CHARLOTTESVILLE,VA,22903,,38.0289641,-78.5194913,12/20/17 18:23,12/20/17 22:16,POINT (-78.5194913 38.0289641),6,Thursday,Breaking & Entering,
829425277,2016-00000260,3/7/16 11:33,DISORDERLY CONDUCT,DISORDERLY CONDUCT,,1200 Block LEE ST,,CHARLOTTESVILLE,VA,22908,,38.0311849,-78.4988225,12/20/17 18:23,12/20/17 22:16,POINT (-78.4988225 38.0311849),11,Monday,Disorder,
829424773,2016-00000263,3/7/16 18:00,THEFT FROM BUILDING,THEFT FROM BUILDING,,1300 Block LEE ST,,CHARLOTTESVILLE,VA,22903,,38.0313639,-78.4989202,12/20/17 18:23,12/20/17 22:16,POINT (-78.4989202 38.0313639),18,Monday,Theft,
829425578,2016-00000266,3/8/16 19:45,TRESPASS ON REAL PROPERTY,TRESPASS ON REAL PROPERTY,,400 Block MCCORMICK ROAD,,CHARLOTTESVILLE,VA,22904,,38.0341859,-78.5128051,12/20/17 18:23,12/20/17 22:16,POINT (-78.5128051 38.0341859),19,Tuesday,Property Crime,361237
829424944,2016-00000268,3/11/16 17:11,LARCENY:OTHER,LARCENY:OTHER,,1200 Block LEE ST,,CHARLOTTESVILLE,VA,22908,,38.0311849,-78.4988225,12/20/17 18:23,12/20/17 22:16,POINT (-78.4988225 38.0311849),17,Friday,Theft,
829424628,2016-00000270,3/14/16 0:45,BURGLARY/B&E,BURGLARY/B&E,,1700 Block STADIUM ROAD,,CHARLOTTESVILLE,VA,22903,,38.0306697,-78.5096895,12/20/17 18:23,12/20/17 22:16,POINT (-78.5096895 38.0306697),0,Monday,Breaking & Entering,
829424772,2016-00000276,3/16/16 10:25,THEFT FROM BUILDING,THEFT FROM BUILDING,,300 Block MASSIE RD,,CHARLOTTESVILLE,VA,22903,,38.045308,-78.509846,12/20/17 18:23,12/20/17 22:16,POINT (-78.50984600000001 38.045308),10,Wednesday,Theft,361237
829424771,2016-00000277,3/16/16 15:00,THEFT FROM BUILDING,THEFT FROM BUILDING,,300 Block MASSIE RD,,CHARLOTTESVILLE,VA,22903,,38.045308,-78.509846,12/20/17 18:23,12/20/17 22:16,POINT (-78.50984600000001 38.045308),15,Wednesday,Theft,361237
829424770,2016-00000278,3/16/16 15:10,THEFT FROM BUILDING,THEFT FROM BUILDING,,300 Block MASSIE RD,,CHARLOTTESVILLE,VA,22903,,38.045308,-78.509846,12/20/17 18:23,12/20/17 22:16,POINT (-78.50984600000001 38.045308),15,Wednesday,Theft,361237
829424769,2016-00000279,3/16/16 15:20,THEFT FROM BUILDING,THEFT FROM BUILDING,,300 Block MASSIE RD,,CHARLOTTESVILLE,VA,22903,,38.045308,-78.509846,12/20/17 18:23,12/20/17 22:16,POINT (-78.50984600000001 38.045308),15,Wednesday,Theft,361237
829424945,2016-00000280,3/16/16 17:20,LARCENY:OTHER,LARCENY:OTHER,,400 Block LAMBETH,,CHARLOTTESVILLE,VA,22903,,38.0420952,-78.5052113,12/20/17 18:23,12/20/17 22:16,POINT (-78.5052113 38.0420952),17,Wednesday,Theft,361237
829425278,2016-00000286,3/17/16 8:10,DISORDERLY CONDUCT,DISORDERLY CONDUCT,,1200 Block LEE ST,,CHARLOTTESVILLE,VA,22908,,38.0311849,-78.4988225,12/20/17 18:23,12/20/17 22:16,POINT (-78.4988225 38.0311849),8,Thursday,Disorder,
829424629,2016-00000287,3/17/16 12:44,BURGLARY/B&E,BURGLARY/B&E,,300 Block MASSIE ROAD,,CHARLOTTESVILLE,VA,22903,,38.045308,-78.509846,12/20/17 18:23,12/20/17 22:16,POINT (-78.50984600000001 38.045308),12,Thursday,Breaking & Entering,361237
